subj_nr	sent_nr	word_pos	item	baseline	N400	reject_data	word	log_freq	nr_char	reject_word
1	87	1	8701	0.16938	4.1495	true	He	-12.7513	2	true
1	87	2	8702	-2.0631	-7.0284	true	heaved	-2.9444	6	false
1	87	3	8703	1.9898	0.18268	false	his	-11.844	3	false
1	87	4	8704	4.5269	0.69422	false	shoulders	-6.9058	9	false
1	87	5	8705	-14.731	-1.6174	false	and	-14.4566	3	false
1	87	6	8706	5.3298	-0.26692	false	swung	-5.273	5	false
1	87	7	8707	-0.36597	-5.1561	false	the	-15.2505	3	false
1	87	8	8708	-2.1037	0.16242	false	axe	-5.7398	3	false
1	87	9	8709	2.4384	1.7857	false	again.		6	true
1	211	1	21101	3.2784	3.4277	false	If	-12.2502	2	true
1	211	2	21102	-5.1016	-0.26287	false	I	-14.2268	1	false
1	211	3	21103	-3.1595	6.2377	false	have	-13.3949	4	false
1	211	4	21104	3.5324	-0.57745	false	time	-12.1679	4	false
1	211	5	21105	-4.3453	0.332	false	at	-12.8145	2	false
1	211	6	21106	-0.7601100000000001	2.2149	false	the	-15.2505	3	false
1	211	7	21107	-5.0412	4.0005	false	end	-10.7606	3	false
1	211	8	21108	1.6054	-0.38948	false	I'll		4	true
1	211	9	21109	-1.192	-0.8371299999999999	false	fill	-8.5252	4	false
1	211	10	21110	-2.7382	1.3293	false	you	-13.8667	3	false
1	211	11	21111	-1.3725	0.2098	false	in	-14.0752	2	false
1	211	12	21112	-7.5588	0.90394	false	on	-13.3552	2	false
1	211	13	21113	-2.7227	-2.0563	false	what	-12.7303	4	false
1	211	14	21114	-3.7027	11.209	false	happened.		9	true
1	201	1	20101	-0.38703	2.0497	false	One	-12.4628	3	true
1	201	2	20102	-1.9846	-7.6418	false	by	-12.3519	2	false
1	201	3	20103	-4.8891	6.1875	false	one	-12.4628	3	false
1	201	4	20104	-2.2	4.4062	false	she	-11.8451	3	false
1	201	5	20105	-3.2872	1.8748	false	placed	-8.6158	6	false
1	201	6	20106	1.5867	0.43085	false	her	-11.5145	3	false
1	201	7	20107	-12.648	-0.31151	false	teeth	-7.5299	5	false
1	201	8	20108	2.9165	-6.8763	false	about	-12.4678	5	false
1	201	9	20109	1.7363	2.8172	false	their	-12.3288	5	false
1	201	10	20110	-5.6666	-7.6711	false	necks	-4.5539	5	false
1	201	11	20111	-1.7137	0.56835	false	and	-14.4566	3	false
1	201	12	20112	-0.7358899999999999	1.4263	false	killed	-8.4025	6	false
1	201	13	20113	7.8383	3.0924	false	them.		5	true
1	71	1	7101	2.4313	6.0243	false	William	-7.4407	7	true
1	71	2	7102	1.8522	-2.116	false	sat	-8.3236	3	false
1	71	3	7103	-0.7146100000000001	3.9463	false	down	-11.0167	4	false
1	71	4	7104	-7.5004	-1.7385	false	and	-14.4566	3	false
1	71	5	7105	2.8131	-1.4458	false	tucked	-5.8636	6	false
1	71	6	7106	-3.895	-0.25626	false	into	-11.4471	4	false
1	71	7	7107	-4.8419	7.6676	false	his	-11.844	3	false
1	71	8	7108	-3.0581	5.8106	false	breakfast.		10	true
1	194	1	19401	-0.66169	2.3175	false	I	-14.2268	1	true
1	194	2	19402	-1.5706	-6.2283	false	mostly	-8.5539	6	false
1	194	3	19403	-3.0289	0.94013	false	just	-12.2691	4	false
1	194	4	19404	1.3721	-2.5585	false	pick	-9.0803	4	false
1	194	5	19405	-5.8385	2.2209	false	a	-14.4505	1	false
1	194	6	19406	1.0064	-4.6983	false	dry	-8.3673	3	false
1	194	7	19407	-8.4824	4.2649	false	white	-9.4694	5	false
1	194	8	19408	-2.3345	-2.9356	false	and	-14.4566	3	false
1	194	9	19409	1.1437	-4.4029	false	drink	-8.7542	5	false
1	194	10	19410	-4.7267	-1.4869	false	it	-14.0514	2	false
1	194	11	19411	-2.9318	0.5053	false	to	-14.774	2	false
1	194	12	19412	7.69	-7.9116	false	get	-12.1457	3	false
1	194	13	19413	-6.6217	4.1557	false	drunk.		6	true
1	157	1	15701	-0.98433	1.6562	false	He	-12.7513	2	true
1	157	2	15702	2.0079	-1.1684	false	had	-12.2547	3	false
1	157	3	15703	3.4398	-3.8554	false	another	-10.9161	7	false
1	157	4	15704	-1.1565	-1.8352	false	shock	-7.885	5	false
1	157	5	15705	2.6719999999999997	-1.3403	false	when	-11.8986	4	false
1	157	6	15706	-2.6273	-0.99796	false	they	-13.0694	4	false
1	157	7	15707	-3.0923	-0.8335600000000001	false	told	-10.3117	4	false
1	157	8	15708	-3.6059	3.2532	false	him	-11.3897	3	false
1	157	9	15709	-2.8216	-3.3033	false	he	-12.7513	2	false
1	157	10	15710	-4.7574	5.9986	false	was	-13.1952	3	false
1	157	11	15711	-0.59951	3.1653	false	moving	-9.2724	6	false
1	157	12	15712	0.11067	-7.0573	false	cells.		6	true
1	53	1	5301	-1.4169999999999998	-0.88744	false	She	-11.8451	3	true
1	53	2	5302	-3.9301	-2.6269	false	hid	-6.0591	3	false
1	53	3	5303	-7.3988	-2.7165	false	the	-15.2505	3	false
1	53	4	5304	8.1796	-3.1482	false	boxes	-7.769	5	false
1	53	5	5305	6.6476	0.033763999999999995	false	and	-14.4566	3	false
1	53	6	5306	0.12417	-4.452	false	matches	-7.6912	7	false
1	53	7	5307	4.996	-2.0959	false	well.		5	true
1	129	1	12901	1.8079	0.11723	false	Anthony	-6.5667	7	true
1	129	2	12902	1.6293	-0.015533000000000003	false	was	-13.1952	3	false
1	129	3	12903	-0.082587	1.8407	false	approached,		11	true
1	129	4	12904	-5.7178	-2.5224	false	just	-12.2691	4	false
1	129	5	12905	0.062948	-0.47581	false	as	-13.0774	2	false
1	129	6	12906	1.6717	2.6632	false	he	-12.7513	2	false
1	129	7	12907	2.8564	-0.30306	false	had	-12.2547	3	false
1	129	8	12908	-0.48658	-1.8856	false	predicted,		10	true
1	129	9	12909	-4.5549	1.8504	false	in	-14.0752	2	false
1	129	10	12910	-4.5963	-2.9723	false	the	-15.2505	3	false
1	129	11	12911	2.8744	5.7843	false	park.		5	true
1	123	1	12301	5.7933	2.5947	false	Gilbert	-5.7869	7	true
1	123	2	12302	7.0295	3.0515	false	sat	-8.3236	3	false
1	123	3	12303	-1.0488	-1.4965	false	as	-13.0774	2	false
1	123	4	12304	-5.505	-6.528	false	still	-11.2927	5	false
1	123	5	12305	-2.3309	6.2038	false	as	-13.0774	2	false
1	123	6	12306	-8.0869	4.2701	false	he	-12.7513	2	false
1	123	7	12307	-3.7501	3.1658	false	could	-11.841	5	false
1	123	8	12308	1.2041	-4.1514	false	nursing	-7.6755	7	false
1	123	9	12309	-0.80923	-3.3456	false	his	-11.844	3	false
1	123	10	12310	4.709	7.0525	false	lip.		4	true
1	6	1	601	-4.6397	-4.5876	false	I	-14.2268	1	true
1	6	2	602	-2.7460000000000004	-1.8599	false	cannot	-10.1549	6	false
1	6	3	603	-0.48699	-0.32698	false	tell	-10.4293	4	false
1	6	4	604	1.0545	3.9849	false	you	-13.8667	3	false
1	6	5	605	2.7217	6.8837	false	more.		5	true
1	49	1	4901	-2.3992	-4.0913	false	Tony	-7.818	4	true
1	49	2	4902	-2.415	-2.7071	false	stopped	-8.8219	7	false
1	49	3	4903	3.2294	-2.9373	false	off	-11.0218	3	false
1	49	4	4904	-3.8092	-4.025	false	at	-12.8145	2	false
1	49	5	4905	-4.3789	-3.3975	false	his	-11.844	3	false
1	49	6	4906	-2.1698	-2.7813	false	first	-11.5542	5	false
1	49	7	4907	-0.10872	5.3736	false	delivery.		9	true
1	186	1	18601	4.0647	-1.9454	false	From	-12.5416	4	true
1	186	2	18602	-4.4522	0.035177999999999994	false	the	-15.2505	3	false
1	186	3	18603	-1.9766	2.4505	false	moment	-9.8174	6	false
1	186	4	18604	-0.58817	0.9228	false	we	-13.2763	2	false
1	186	5	18605	-6.1436	-2.7431	false	leave	-10.0143	5	false
1	186	6	18606	1.5606	-3.8939	false	this	-13.429	4	false
1	186	7	18607	4.9779	0.99416	false	spot	-8.6194	4	false
1	186	8	18608	0.33843	-2.309	false	be	-13.4218	2	false
1	186	9	18609	-0.10473	-2.5067	true	very	-12.0881	4	false
1	186	10	18610	5.4045	2.0184	false	careful	-8.4795	7	false
1	186	11	18611	-2.8558	-6.3429	false	what	-12.7303	4	false
1	186	12	18612	-0.28719	2.1383	false	you	-13.8667	3	false
1	186	13	18613	-3.3996	4.9357	false	say.		4	true
1	16	1	1601	2.7434	-4.197	false	Gordon	-7.5126	6	true
1	16	2	1602	6.7006	-1.2719	false	felt	-9.6992	4	false
1	16	3	1603	-4.5471	-0.8043100000000001	false	his	-11.844	3	false
1	16	4	1604	-6.1232	1.802	false	anger	-7.457000000000002	5	false
