subj_nr	sent_nr	word_pos	item	RTfirstpass	prevfix	reject_data	word	log_freq	nr_char	reject_word
1	1	1	101	348	true	false	Anne	-6.8522	4	true
1	1	2	102	152	true	false	lost	-9.742	4	false
1	1	3	103	144	true	false	control	-9.9403	7	false
1	1	4	104	412	true	false	and	-14.4566	3	false
1	1	5	105	316	true	false	laughed.		8	true
1	2	1	201	272	true	false	Billy	-6.5723	5	true
1	2	2	202	160	true	false	wrote	-8.9048	5	false
1	2	3	203	280	true	false	on	-13.3552	2	false
1	2	4	204	0	true	true	the	-15.2505	3	false
1	2	5	205	820	false	false	envelope.		9	true
1	3	1	301	316	true	false	He	-12.7513	2	true
1	3	2	302	144	true	false	called	-9.7281	6	false
1	3	3	303	520	true	false	over	-11.4436	4	false
1	3	4	304	0	true	true	his	-11.844	3	false
1	3	5	305	168	false	false	shoulder.		9	true
1	4	1	401	288	true	false	He	-12.7513	2	true
1	4	2	402	164	true	false	stayed	-8.8625	6	false
1	4	3	403	376	true	false	against	-10.0753	7	false
1	4	4	404	500	true	false	the	-15.2505	3	false
1	4	5	405	528	true	false	wall.		5	true
1	5	1	501	280	true	false	Helen	-6.8068	5	true
1	5	2	502	404	true	false	ran	-8.363999999999999	3	false
1	5	3	503	0	true	true	to	-14.774	2	false
1	5	4	504	168	false	false	the	-15.2505	3	false
1	5	5	505	572	true	false	toilet.		7	true
1	6	1	601	0	true	true	I	-14.2268	1	true
1	6	2	602	388	false	false	cannot	-10.1549	6	false
1	6	3	603	168	true	false	tell	-10.4293	4	false
1	6	4	604	604	true	false	you	-13.8667	3	false
1	6	5	605	0	true	true	more.		5	true
1	7	1	701	280	false	false	Michael	-8.1565	7	true
1	7	2	702	412	true	false	gave	-9.4624	4	false
1	7	3	703	152	true	false	Adam	-7.4194	4	false
1	7	4	704	400	true	false	two	-11.3457	3	false
1	7	5	705	276	true	false	pounds.		7	true
1	8	1	801	292	true	false	Roger	-6.8178	5	true
1	8	2	802	208	true	false	smiled	-7.0975	6	false
1	8	3	803	272	true	false	and	-14.4566	3	false
1	8	4	804	188	true	false	sat	-8.3236	3	false
1	8	5	805	444	true	false	down.		5	true
1	9	1	901	328	true	false	Things	-11.2235	6	true
1	9	2	902	180	true	false	were	-12.1124	4	false
1	9	3	903	124	true	false	looking	-10.7198	7	false
1	9	4	904	0	true	true	up	-12.1638	2	false
1	9	5	905	164	false	false	again.		6	true
1	10	1	1001	268	true	false	This	-13.429	4	true
1	10	2	1002	448	true	false	man's		5	true
1	10	3	1003	216	true	false	hair	-8.4949	4	false
1	10	4	1004	124	true	false	is	-14.0556	2	false
1	10	5	1005	432	true	false	black.		6	true
1	11	1	1101	0	true	true	Turn	-9.846	4	true
1	11	2	1102	224	false	false	your	-12.7412	4	false
1	11	3	1103	244	true	false	hearing	-8.6905	7	false
1	11	4	1104	200	true	false	aid	-8.6052	3	false
1	11	5	1105	332	true	false	up.		3	true
1	12	1	1201	312	true	false	You'll		6	true
1	12	2	1202	512	true	false	demand	-8.9119	6	false
1	12	3	1203	372	true	false	nothing	-10.4995	7	false
1	12	4	1204	216	true	false	of	-14.3992	2	false
1	12	5	1205	68	true	false	me.		3	true
1	13	1	1301	0	true	true	A	-14.4505	1	true
1	13	2	1302	436	false	false	horse	-8.0993	5	false
