rnntype	fit	se	x
SRN	9.228707975802962	4.638927	-7.4111404
SRN	9.33424634402806	4.3059435	-7.3870115
SRN	9.439246839938704	3.9962988	-7.3628826
SRN	9.54294652408177	3.7147202	-7.3387537
SRN	9.64453572696263	3.464312	-7.314625
SRN	9.743101782260482	3.2464657	-7.290496
SRN	9.83767766421849	3.0610335	-7.266367
SRN	9.92729825442845	2.9066405	-7.242238
SRN	10.011044210849349	2.7819467	-7.2181096
SRN	10.088061041293685	2.6861472	-7.1939807
SRN	10.15753621524388	2.6183233	-7.169852
SRN	10.218672460971419	2.5762193	-7.145723
SRN	10.270676321445052	2.5552874	-7.121594
SRN	10.312702841220442	2.549448	-7.097465
SRN	10.343752569613997	2.5536137	-7.073336
SRN	10.362656301913802	2.5652359	-7.049207
SRN	10.36824292605931	2.5829427	-7.0250783
SRN	10.359333700595442	2.6059194	-7.0009494
SRN	10.334751791415755	2.6334996	-6.9768205
SRN	10.293322271762435	2.6648762	-6.952692
SRN	10.233868307529036	2.6989431	-6.928563
SRN	10.155214971957747	2.734254	-6.904434
SRN	10.056196875033919	2.7691343	-6.8803053
SRN	9.9357821411472	2.8021214	-6.8561764
SRN	9.793152517734114	2.8318615	-6.8320475
SRN	9.627949423251692	2.8572347	-6.8079185
SRN	9.44019002383763	2.877175	-6.7837896
SRN	9.230052656589095	2.8905375	-6.7596607
SRN	8.998070425448958	2.8968904	-6.735532
SRN	8.745204634128157	2.897164	-6.711403
SRN	8.47261018222386	2.893195	-6.687274
SRN	8.181445784030501	2.8870077	-6.6631455
SRN	7.8728672928195635	2.8805125	-6.6390166
SRN	7.5480334228854815	2.8752646	-6.6148877
SRN	7.208101934848372	2.8722794	-6.590759
SRN	6.85422868197972	2.8719132	-6.56663
SRN	6.487572378573958	2.8738186	-6.542501
SRN	6.109290785251204	2.8769796	-6.518372
SRN	5.720540708957259	2.8798196	-6.494243
SRN	5.322479910312239	2.8803778	-6.470114
SRN	4.916260427890364	2.8765619	-6.4459853
SRN	4.502914137301985	2.8668303	-6.4218564
SRN	4.08317155307347	2.850911	-6.3977275
SRN	3.657505697665755	2.829563	-6.373599
SRN	3.225985235629622	2.8047867	-6.34947
