rnntype	fit	se	x
SRN	-6.054927076427177	8.902269	-8.032534
SRN	-9.708590711681083	7.187848	-8.008003
SRN	-13.258155073253349	6.0022864	-7.983472
SRN	-16.58070680054827	5.520573	-7.9589415
SRN	-19.55037232789202	5.6145277	-7.9344106
SRN	-22.057646955577567	5.9198594	-7.9098797
SRN	-24.01315995606585	6.1236897	-7.885349
SRN	-25.368674482433036	6.0945835	-7.860818
SRN	-26.1437141552846	5.885834	-7.836287
SRN	-26.402831281749442	5.663978	-7.811756
SRN	-26.23107072266741	5.6136613	-7.7872252
SRN	-25.7333137646596	5.824974	-7.762695
SRN	-25.014960493175224	6.2173305	-7.738164
SRN	-24.169326032726005	6.6178665	-7.713633
SRN	-23.25719376954241	6.8965006	-7.689102
SRN	-22.31072160157366	7.00095	-7.6645713
SRN	-21.343688215343192	6.9394445	-7.6400404
SRN	-20.369231428233817	6.7454786	-7.6155095
SRN	-19.400492872325614	6.468142	-7.5909786
SRN	-18.45060655030413	6.167734	-7.566448
SRN	-17.532710279552177	5.911211	-7.5419173
SRN	-16.65968629273577	5.7636075	-7.5173864
SRN	-15.83179780396624	5.7769184	-7.4928555
SRN	-15.025866712657646	5.9631886	-7.4683247
SRN	-14.19648286255999	6.275139	-7.443794
SRN	-13.294203962413505	6.6209393	-7.419263
SRN	-12.275813306895927	6.905914	-7.394732
SRN	-11.122328962413505	7.077283	-7.3702016
SRN	-9.833434309093192	7.1285934	-7.3456707
SRN	-8.409987653819755	7.0730605	-7.32114
SRN	-6.852847303477958	6.9343333	-7.296609
SRN	-5.162871564952567	6.741842	-7.272078
SRN	-3.3409187451283486	6.5273805	-7.247547
SRN	-1.387850965587333	6.3216476	-7.2230163
SRN	0.6954772814829795	6.1501975	-7.1984854
SRN	2.9082076891978232	6.029087	-7.173955
SRN	5.249478135975167	5.9614515	-7.149424
SRN	7.718430314930245	5.936552	-7.124893
SRN	10.314205919178292	5.9319916	-7.1003623
SRN	13.03593901244001	5.9183855	-7.0758314
SRN	15.879210267933175	5.867029	-7.0513005
SRN	18.825289522083565	5.7634125	-7.0267696
SRN	21.846672807606026	5.6153607	-7.0022388
SRN	24.91428831663923	5.445346	-6.9777083
SRN	27.9990499362071	5.2816167	-6.9531775
SRN	31.071871553333565	5.1534557	-6.9286466
SRN	34.103668008716866	5.085591	-6.9041157
SRN	37.065354143055245	5.092296	-6.879585
SRN	39.92784384337263	5.1733036	-6.855054
SRN	42.66205135432081	5.3136253	-6.830523
SRN	45.23889115897016	5.4872727	-6.805992
SRN	47.62927750197248	5.6627297	-6.7814617
SRN	49.80426291075544	5.8080406	-6.756931
SRN	51.74109390822248	5.8967376	-6.7324
SRN	53.42836359587507	5.9125485	-6.707869
SRN	54.87658957091169	5.8572464	-6.683338
SRN	56.118048463733956	5.7517586	-6.6588073
SRN	57.19137934294538	5.62587	-6.6342764
SRN	58.13555410948591	5.5107365	-6.6097455
SRN	58.98954752531843	5.434306	-6.585215
SRN	59.79233149138288	5.41637	-6.560684
SRN	60.582878862293526	5.464291	-6.5361533
SRN	61.40016440001325	5.571294	-6.5116224
SRN	62.28315809813337	5.7182083	-6.4870915
SRN	63.2708366259654	5.8777037	-6.4625607
SRN	64.4021728381236	6.019126	-6.43803
SRN	65.71613577452497	6.112667	-6.413499
SRN	67.25153425780134	6.1328607	-6.3889685
SRN	69.03252104369001	6.067895	-6.3644376
SRN	71.04454306212263	5.9310794	-6.3399067
SRN	73.2543571337779	5.7502394	-6.315376
SRN	75.62715605345564	5.557653	-6.290845
SRN	78.12450102415876	5.3887315	-6.266314
SRN	80.69811323729353	5.280085	-6.241783
SRN	83.29805449095564	5.2557154	-6.2172527
SRN	85.87437895384626	5.319113	-6.192722
SRN	88.37714460936384	5.4522014	-6.168191
SRN	90.75640562620954	5.620875	-6.14366
SRN	92.96221998778181	5.783724	-6.119129
SRN	94.94464186278181	5.900166	-6.0945983
SRN	96.65428999510603	5.93726	-6.0700674
SRN	98.05981138792829	5.8849735	-6.0455365
SRN	99.16399839964704	5.7662263	-6.021006
SRN	99.98159102049665	5.6212864	-5.996475
SRN	100.54681471434431	5.5038486	-5.9719443
SRN	100.91122130003767	5.465095	-5.9474134
SRN	101.13065413084821	5.530918	-5.9228826
SRN	101.26098326292829	5.6905313	-5.8983517
SRN	101.35806730833845	5.9002147	-5.873821
SRN	101.47778013792829	6.09674	-5.84929
SRN	101.67598417845564	6.211389	-5.8247595
SRN	102.00854567137556	6.179957	-5.8002286
SRN	102.53035048094587	5.9515815	-5.7756977
SRN	103.2841308459361	5.511924	-5.751167
SRN	104.283554826649	4.922216	-5.726636
SRN	105.50910261717634	4.3608427	-5.702105
SRN	106.91697386351423	4.1377954	-5.677574
SRN	108.45732191649275	4.5394926	-5.6530433
SRN	110.08039930907087	5.5560226	-5.628513
SRN	111.73959425535993	6.964322	-5.603982
GRU	3.3255257634726476	9.549242	-8.133522
GRU	0.31567240043553824	7.3300953	-8.105666
GRU	-2.5790114374550868	5.6282744	-8.077811
GRU	-5.243451592484384	4.769659	-8.049955
GRU	-7.575162407914071	4.762985	-8.0220995
GRU	-9.51485204414454	5.1513267	-7.994244
GRU	-11.041345116654306	5.484245	-7.9663887
GRU	-12.18888997749415	5.5689554	-7.9385333
GRU	-13.049016472855477	5.411555	-7.910678
GRU	-13.727502343216806	5.1041355	-7.882822
GRU	-14.331128594437509	4.777786	-7.8549666
GRU	-14.979924675980477	4.580451	-7.8271112
GRU	-15.804486748734384	4.586003	-7.7992554
GRU	-16.936105248490243	4.707305	-7.7714
GRU	-18.480081078568368	4.76559	-7.7435446
GRU	-20.405862328568368	4.6689177	-7.7156887
GRU	-22.576997277298837	4.4586515	-7.6878333
GRU	-24.847848412552743	4.2409577	-7.659978
GRU	-27.07269429878321	4.151442	-7.632122
GRU	-29.097970482865243	4.3042083	-7.6042666
GRU	-30.752542016068368	4.715457	-7.5764112
GRU	-31.872209069291024	5.276313	-7.5485554
GRU	-32.32360982612696	5.830419	-7.5207
GRU	-32.024919030228524	6.251134	-7.4928446
GRU	-31.0092635126504	6.4963017	-7.4649887
GRU	-29.347451684037118	6.571965	-7.4371333
GRU	-27.11046743110743	6.500837	-7.409278
GRU	-24.369279381791024	6.3145	-7.381422
GRU	-21.194863793412118	6.049822	-7.3535666
GRU	-17.658193108597665	5.746613	-7.3257113
GRU	-13.830243584671884	5.444909	-7.2978554
GRU	-9.781991478958993	5.180745	-7.27
GRU	-5.584413048783212	4.9800897	-7.2421446
GRU	-1.3084769220742274	4.8524113	-7.2142887
GRU	2.9748368291464757	4.787205	-7.1864333
GRU	7.1945557622519445	4.756235	-7.158578
GRU	11.280180457076163	4.721241	-7.130722
GRU	15.174999716719718	4.6513352	-7.1028666
GRU	18.851198676070304	4.536823	-7.0750113
GRU	22.302935126265616	4.386005	-7.047156
GRU	25.537907126387687	4.2214494	-7.0193
GRU	28.564423087081046	4.072514	-6.9914446
GRU	31.39079332633886	3.9695263	-6.963589
GRU	34.025329115828605	3.9364777	-6.9357333
GRU	36.47633981986913	3.9835727	-6.907878
GRU	38.752135756453605	4.103367	-6.8800225
GRU	40.861027720412345	4.2729387	-6.8521667
GRU	42.81132579131994	4.4602456	-6.8243113
GRU	44.611718448838324	4.630904	-6.796456
GRU	46.27586901470098	4.7552586	-6.7686
GRU	47.82197213455114	4.816309	-6.7407446
GRU	49.26597595497045	4.8167114	-6.712889
GRU	50.622802260359855	4.7680087	-6.6850333
GRU	51.90737057014379	4.6855235	-6.657178
GRU	53.1345992116538	4.586652	-6.6293225
GRU	54.31940508170995	4.4892626	-6.6014667
GRU	55.4767098455039	4.409854	-6.5736113
GRU	56.62142896934423	4.36143	-6.545756
