rnntype	fit	se	x
SRN	-2.3512554576614946	12.649555	-7.348663
SRN	-2.480115931294307	10.95598	-7.3253546
SRN	-2.597517054341182	9.466532	-7.3020463
SRN	-2.6901531627396196	8.261338	-7.2787385
SRN	-2.7421169688919633	7.3953667	-7.25543
SRN	-2.7379436900833696	6.8619714	-7.232122
SRN	-2.663793604634151	6.5851626	-7.2088137
SRN	-2.5094891002396196	6.4594994	-7.185506
SRN	-2.2701931407669633	6.406495	-7.1621976
SRN	-1.9471950938919633	6.40171	-7.1388893
SRN	-1.5450191905716508	6.458248	-7.115581
SRN	-1.0748577525833696	6.6052985	-7.092273
SRN	-0.5507259776810258	6.845581	-7.068965
SRN	0.013284642436161676	7.1375904	-7.0456567
SRN	0.6038074085494429	7.410996	-7.0223484
SRN	1.2121066639205367	7.613408	-6.99904
SRN	1.8344058582564742	7.7311234	-6.9757323
SRN	2.467760045268193	7.7704687	-6.952424
SRN	3.109216649272099	7.7474337	-6.929116
SRN	3.755845982768193	7.6830196	-6.9058075
SRN	4.40469547007288	7.59997	-6.8824997
SRN	5.052835423686162	7.520094	-6.8591914
SRN	5.697313267924443	7.4619308	-6.835883
SRN	6.335199315287724	7.438924	-6.812575
SRN	6.965288121440068	7.4603925	-6.789267
SRN	7.591669041850224	7.5313706	-6.765959
SRN	8.220506627299443	7.642926	-6.7426505
SRN	8.862260777690068	7.7744937	-6.719342
SRN	9.531694371440068	7.899816	-6.6960344
SRN	10.245439488627568	7.992571	-6.672726
SRN	11.020097691752568	8.034313	-6.649418
SRN	11.871175725199834	8.019042	-6.6261096
SRN	12.812337834574834	7.95695	-6.602802
SRN	13.857049901225224	7.864679	-6.5794935
SRN	15.018785435893193	7.7611413	-6.5561852
SRN	16.311010319926396	7.664581	-6.532877
SRN	17.74719806406702	7.589851	-6.5095687
SRN	19.340814549662724	7.546059	-6.486261
SRN	21.105333287455693	7.534973	-6.4629526
SRN	23.05422397349085	7.5505805	-6.4396443
SRN	25.20095248911585	7.579936	-6.416336
SRN	27.558996159770146	7.6050744	-6.3930283
SRN	30.14181705210413	7.6055737	-6.36972
SRN	32.96067233774866	7.5625916	-6.3464117
SRN	36.012506444193974	7.4678955	-6.3231034
SRN	39.28317447397913	7.3235693	-6.2997956
SRN	42.751188237406865	7.1420536	-6.2764874
SRN	46.384597737528935	6.949078	-6.253179
SRN	50.14955707285608	6.77415	-6.229871
SRN	54.01221843455042	6.6446323	-6.206563
SRN	57.938735921122685	6.58083	-6.1832547
SRN	61.89526458475794	6.591588	-6.1599464
SRN	65.84795470926966	6.672027	-6.136638
SRN	69.76296182368006	6.804483	-6.11333
SRN	73.60643883440699	6.9621525	-6.090022
SRN	77.34453864786829	7.1138697	-6.066714
SRN	80.94341512415613	7.228637	-6.0434055
SRN	84.37071891520227	7.280634	-6.0200973
SRN	87.60156341288294	7.2569704	-5.9967895
SRN	90.62936492655481	7.1673045	-5.973481
SRN	93.46537967417444	7.0412784	-5.950173
SRN	96.1228999683639	6.9124374	-5.9268646
SRN	98.6152152607223	6.8118744	-5.903557
SRN	100.95561786387171	6.7630363	-5.8802485
SRN	103.15739436838831	6.7770853	-5.8569403
SRN	105.23384090159144	6.8504205	-5.833632
SRN	107.19824214670862	6.965472	-5.810324
SRN	109.06389423105921	7.0944014	-5.787016
SRN	110.84408374521936	7.204166	-5.7637076
SRN	112.55210300181116	7.261587	-5.7403994
SRN	114.2011241504928	7.2384386	-5.7170916
SRN	115.80145831797327	7.1245446	-5.6937833
SRN	117.35790439341272	6.937928	-5.670475
SRN	118.87201495859827	6.71546	-5.6471667
SRN	120.34391589853968	6.502954	-5.6238585
SRN	121.77330966685022	6.3448014	-5.6005507
SRN	123.15992923472132	6.275411	-5.5772424
