experiment	subj_nr	age	age_en	gender	hand	correct	reject
SPR	1	19	0	f	r	0.867647	false
SPR	2	18	2	f	r	0.841121	true
SPR	3	20	10	m	r	0.897059	true
SPR	4	20	3	f	r	0.630952	true
SPR	5	18	12	f	r	0.979592	true
SPR	6	18	3	m	l	0.863636	true
SPR	7	19	0	f	l	0.934211	false
SPR	8	18	0	m	r	0.782609	true
SPR	9	19	0	f	r	0.894737	false
SPR	10	18	0	f	r	0.85	false
SPR	11	19	0	f	r	0.958333	false
SPR	12	20	0	f	r	0.84	false
SPR	13	18	0	f	r	0.869863	false
SPR	14	19	7	f	r	0.6875	true
SPR	15	19	0	f	r	0.812903	false
SPR	16	18	0	f	l	0.798165	true
SPR	17	19	0	f	l	0.680723	true
SPR	18	20	10	f	r	0.875	true
SPR	19	20	15	f	r	0.836066	true
SPR	20	18	0	f	r	0.669725	true
SPR	21	18	0	f	r	0.925926	false
SPR	22	19	3	f	r	0.913043	true
SPR	23	18	3	f	r	0.865979	true
SPR	24	19	0	f	r	0.864865	false
SPR	25	19	6	f	r	0.849462	true
SPR	26	18	0	f	r	0.954545	false
SPR	27	19	8	f	r	0.876923	true
SPR	28	19	8	f	r	0.852941	true
SPR	29	19	0	m	r	0.885057	false
SPR	30	21	0	m	r	0.976744	false
SPR	31	19	3	m	r	0.857143	true
SPR	32	19	0	m	l	0.960784	false
SPR	33	18	2	f	r	0.914894	true
SPR	34	18	3	m	r	0.867925	true
SPR	35	19	0	f	r	0.854839	false
SPR	36	20	3	f	r	0.728395	true
SPR	37	21	11	m	r	0.836364	true
SPR	38	21	0	m	r	0.891026	false
SPR	39	19	7	f	r	0.846154	true
SPR	40	19	9	f	r	0.757895	true
SPR	41	19	0	m	r	0.70122	true
SPR	42	18	2	f	r	0.8	true
SPR	43	19	0	f	l	0.876404	false
SPR	44	18	0	f	r	0.844828	false
SPR	45	19	0	f	r	0.939394	false
SPR	46	22	10	f	r	0.894737	true
SPR	47	21	10	m	r	0.808824	true
SPR	48	19	9	f	r	0.862745	true
SPR	49	18	12	m	r	0.877551	true
SPR	50	20	0	f	r	0.988235	false
SPR	51	20	2	f	r	0.987805	true
SPR	52	18	0	f	r	0.745283	true
SPR	53	18	0	f	r	0.961165	false
SPR	54	18	0	f	r	0.913978	false
SPR	55	18	0	f	r	0.795699	true
SPR	56	18	0	f	r	0.866667	false
SPR	57	18	3	m	r	0.777778	true
SPR	58	19	1	f	l	0.849057	true
SPR	59	20	0	f	r	0.769231	true
SPR	60	19	0	f	r	0.895349	false
SPR	61	20	0	m	r	0.777778	true
SPR	62	20	0	f	r	0.903614	false
SPR	63	18	0	f	r	0.990291	false
SPR	64	19	3	f	r	0.864583	true
SPR	65	19	3	f	l	0.942857	true
SPR	66	18	0	f	r	0.929293	false
SPR	67	18	5	f	r	0.796748	true
SPR	68	18	0	f	l	0.790123	true
SPR	69	19	0	m	r	0.804054	false
SPR	70	18	0	f	r	0.944444	false
SPR	71	18	2	f	r	0.663866	true
SPR	72	19	0	m	r	0.829787	false
SPR	73	18	0	f	r	0.959459	false
SPR	74	19	0	f	r	0.896552	false
SPR	75	18	3	f	r	0.783784	true
SPR	76	19	0	f	r	0.898551	false
SPR	77	19	4	f	r	0.911392	true
SPR	78	18	10	f	r	0.875	true
SPR	79	18	0	f	r	0.826446	false
SPR	80	20	0	f	r	0.788462	true
SPR	81	18	0	f	r	0.653543	true
SPR	82	17	5	f	r	0.927835	true
SPR	83	19	0	f	r	0.943396	false
SPR	84	19	0	f	r	0.88785	false
SPR	85	18	5	f	r	0.782609	true
SPR	86	18	0	f	r	0.86755	false
SPR	87	19	0	f	r	0.946667	false
SPR	88	18	8	f	r	0.846154	true
SPR	89	20	0	f	r	0.853659	false
SPR	90	19	4	f	r	0.753846	true
SPR	91	20	10	f	r	0.82716	true
SPR	92	29	0	m	r	0.918239	false
SPR	93	19	0	m	r	0.90991	false
SPR	94	19	3	f	r	0.869565	true
SPR	95	18	0	f	r	0.967742	false
SPR	96	18	0	f	r	0.9	false
SPR	97	19	0	f	r	0.87069	false
SPR	98	19	0	f	r	0.82963	false
SPR	99	19	0	f	r	0.927711	false
SPR	100	18	4	m	r	0.980583	true
SPR	101	19	0	m	r	0.845161	false
SPR	102	18	0	f	r	0.871795	false
SPR	103	19	0	f	r	0.9125	false
SPR	104	18	0	f	r	0.881188	false
SPR	105	18	0	f	l	0.673333	true
SPR	106	20	16	m	r	0.555556	true
SPR	107	20	0	m	r	0.834951	false
SPR	108	19	0	f	r	0.854839	false
SPR	109	19	0	f	r	0.596026	true
SPR	110	19	8	f	r	0.878378	true
SPR	111	19	6	m	r	0.864865	true
SPR	112	19	0	f	r	0.777778	true
SPR	113	18	1	f	r	0.95283	true
SPR	114	19	0	f	r	0.894737	false
SPR	115	19	0	f	r	0.673913	true
SPR	116	19	0	f	r	0.891304	false
SPR	117	19	6	m	r	0.753968	true
ET	1	33	0	f	r	0.9	false
ET	2	23	0	f	r	0.9	false
ET	3	26	0	f	r	0.818182	false
ET	4	19	0	m	r	0.909091	false
ET	5	24	0	f	r	0.836364	false
ET	6	20	0	f	r	0.763636	true
ET	7	26	0	m	r	0.945455	false
ET	8	35	0	m	r	0.909091	false
ET	9	34	0	f	r	0.947368	false
ET	10	24	0	f	r	0.963636	false
ET	11	46	0	f	r	0.936364	false
ET	12	24	0	f	r	0.927273	false
ET	13	29	0	f	r	0.963636	false
ET	14	30	0	f	l	0.9	false
ET	15	31	0	m	r	0.954545	false
ET	16	21	0	f	r	0.945455	false
ET	17	25	0	m	r	0.894737	false
ET	18	22	0	m	r	0.954545	false
ET	19	38	0	f	r	0.918182	false
ET	20	30	0	f	r	0.927273	false
ET	21	56	0	f	r	0.927273	false
ET	22	25	3	m	r	0.890909	true
ET	23	21	0	m	r	0.918182	false
ET	24	27	4	m	r	0.972727	true
ET	25	24	0	f	r	0.854545	false
ET	26	21	4	f	r	0.745455	true
